"id","mapping_id:id","external_field","field_id:id","type","evaluation_type","external_type","child_mapping_id:id","alternative_key","in_function","out_function"
"mag1500_magerp_product_attributes_is_comparable","mag1500_magerp_product_attributes","is_comparable","magentoerpconnect.field_magerp_product_attributes_is_comparable","in","direct","int",,"False",,
"mag1500_magerp_product_attributes_is_visible","mag1500_magerp_product_attributes","is_visible","magentoerpconnect.field_magerp_product_attributes_is_visible","in","direct","int",,"False",,
"mag1500_magerp_product_attributes_is_searchable","mag1500_magerp_product_attributes","is_searchable","magentoerpconnect.field_magerp_product_attributes_is_searchable","in","direct","int",,"False",,
"mag1500_magerp_product_attributes_is_user_defined","mag1500_magerp_product_attributes","is_user_defined","magentoerpconnect.field_magerp_product_attributes_is_user_defined","in","direct","int",,"False",,
"mag1500_magerp_product_attributes_is_configurable","mag1500_magerp_product_attributes","is_configurable","magentoerpconnect.field_magerp_product_attributes_is_configurable","in","direct","int",,"False",,
"mag1500_magerp_product_attributes_is_visible_on_front","mag1500_magerp_product_attributes","is_visible_on_front","magentoerpconnect.field_magerp_product_attributes_is_visible_on_front","in","direct","int",,"False",,
"mag1500_magerp_product_attributes_is_used_for_price_rules","mag1500_magerp_product_attributes","is_used_for_price_rules","magentoerpconnect.field_magerp_product_attributes_is_used_for_price_rules","in","direct","int",,"False",,
"mag1500_magerp_product_attributes_attribute_id","mag1500_magerp_product_attributes","attribute_id","magentoerpconnect.field_magerp_product_attributes_magento_id","in","direct","int",,"False",,
"mag1500_magerp_product_attributes_frontend_input","mag1500_magerp_product_attributes","frontend_input","magentoerpconnect.field_magerp_product_attributes_frontend_input","in","direct","unicode",,"False",,
"mag1500_magerp_product_attributes_frontend_class","mag1500_magerp_product_attributes","frontend_class","magentoerpconnect.field_magerp_product_attributes_frontend_class","in","direct","unicode",,"False",,
"mag1500_magerp_product_attributes_backend_model","mag1500_magerp_product_attributes","backend_model","magentoerpconnect.field_magerp_product_attributes_backend_model","in","direct","unicode",,"False",,
"mag1500_magerp_product_attributes_backend_type","mag1500_magerp_product_attributes","backend_type","magentoerpconnect.field_magerp_product_attributes_backend_type","in","direct","unicode",,"False",,
"mag1500_magerp_product_attributes_frontend_label","mag1500_magerp_product_attributes","frontend_label","magentoerpconnect.field_magerp_product_attributes_frontend_label","in","direct","unicode",,"False",,
"mag1500_magerp_product_attributes_is_visible_in_advanced_search","mag1500_magerp_product_attributes","is_visible_in_advanced_search","magentoerpconnect.field_magerp_product_attributes_is_visible_in_advanced_search","in","direct","int",,"False",,
"mag1500_magerp_product_attributes_is_global","mag1500_magerp_product_attributes","is_global","magentoerpconnect.field_magerp_product_attributes_is_global","in","direct","int",,"False",,
"mag1500_magerp_product_attributes_attribute_code","mag1500_magerp_product_attributes","attribute_code","magentoerpconnect.field_magerp_product_attributes_attribute_code","in","direct","unicode",,"False",,
"mag1500_magerp_product_attributes_is_filterable","mag1500_magerp_product_attributes","is_filterable","magentoerpconnect.field_magerp_product_attributes_is_filterable","in","direct","int",,"False",,
"mag1500_magerp_product_attributes_apply_to","mag1500_magerp_product_attributes","apply_to","magentoerpconnect.field_magerp_product_attributes_apply_to","in","direct","unicode",,"False",,
"mag1500_magerp_product_attributes_is_unique","mag1500_magerp_product_attributes","is_unique","magentoerpconnect.field_magerp_product_attributes_is_unique","in","direct","int",,"False",,
"mag1500_magerp_product_attributes_is_required","mag1500_magerp_product_attributes","is_required","magentoerpconnect.field_magerp_product_attributes_is_required","in","direct","int",,"False",,
"mag1500_magerp_product_attributes_position","mag1500_magerp_product_attributes","position","magentoerpconnect.field_magerp_product_attributes_position","in","direct","int",,"False",,
"mag1500_magerp_product_attributes_attribute_set_info","mag1500_magerp_product_attributes","attribute_set_info","magentoerpconnect.field_magerp_product_attributes_attribute_set_info","in","direct","unicode",,"False",,
"mag1500_magerp_product_attributes_default_value","mag1500_magerp_product_attributes","default_value","magentoerpconnect.field_magerp_product_attributes_default_value","in","direct","unicode",,"False",,
"mag1500_magerp_product_attributes_note","mag1500_magerp_product_attributes","note","magentoerpconnect.field_magerp_product_attributes_note","in","direct","unicode",,"False",,
"mag1500_magerp_product_attributes_entity_type_id","mag1500_magerp_product_attributes","entity_type_id","magentoerpconnect.field_magerp_product_attributes_entity_type_id","in","direct","int",,"False",,
