"id","attribute_name","label","value"
"mag_product_category_attribute_1","page_layout","No layout updates","None"
"mag_product_category_attribute_2","page_layout","Empty","empty"
"mag_product_category_attribute_3","page_layout","1 column","one_column"
"mag_product_category_attribute_4","page_layout","2 columns with left bar","two_column_left"
"mag_product_category_attribute_5","page_layout","2 columns with right bar","two_columns_right"
"mag_product_category_attribute_6","page_layout","3 columns","three_columns"
"mag_product_category_attribute_7","default_sort_by","Use Config Settings","None"
"mag_product_category_attribute_8","default_sort_by","Best Value","position"
"mag_product_category_attribute_9","default_sort_by","Name","name"
"mag_product_category_attribute_10","default_sort_by","Price","price"
"mag_product_category_attribute_11","available_sort_by","Use Config Settings","None"
"mag_product_category_attribute_12","available_sort_by","Best Value","position"
"mag_product_category_attribute_13","available_sort_by","Name","name"
"mag_product_category_attribute_14","available_sort_by","Price","price"
